href,title,name,date,text
https://www.tongrenquan.org/tongren/6853.html,假面骑士：我！时间掌控者(全本),作者： 牛宝  ,2022-08-15,假面骑士爱好者的雷洛重生到假面骑士build的世界，并获得了时间掌控者奥丁的卡组，从此一发不可收拾！
https://www.tongrenquan.org/tongren/6830.html,我的美女公爵老婆(全本),作者： 小魔法师  ,2022-08-03,冰冷的公爵，妩媚的公主，娇俏的萝莉...当一个个的硬坎出现在林鹏面前时，要么跨过，要么...直接埋葬。
https://www.tongrenquan.org/tongren/6826.html,我白银超，人在骑士，加入聊天群(全本),作者： 小h真好  ,2022-08-02,墨羽，穿越dc世界，先是夺舍刚离开氪星的婴儿超人！
https://www.tongrenquan.org/tongren/6825.html,我，说书人，世上真有神仙(全本),作者： 颜值作者  ,2022-08-02,江枫重生平行世界，这个世界佛教盛行，道教神仙却神秘消失，且三年后，将面临万族入侵的危机！
https://www.tongrenquan.org/tongren/6821.html,赤之沙尘(全本),作者： 范仪同  ,2022-07-31,“我可是在大结局都能露脸来一段感情戏的大人物……”
https://www.tongrenquan.org/tongren/6819.html,崩坏召唤(全本),作者： 隐语者  ,2022-07-30,"苏墨，不死不灭的噬魂者，除了正事不干其他什么都干，如此浪费资源到处撩,居然还不死的举动,终于引来了一群（自称）秉承世界意志之人的愤怒。"
https://www.tongrenquan.org/tongren/6817.html,一剑破开生死路(全本),作者： 神秘轩  ,2022-07-29,第一世，苏澈很幸运，一穿越到异界就是王爷的身份，钱权在手，美人在怀，轻易就过上了醉生梦死的上流生活。
https://www.tongrenquan.org/tongren/6809.html,包分配给我的对象也太多了吧(全本),作者： 式Hikari  ,2022-07-26,这个时代，恋爱相亲对象靠大数据分配，但我只想单身。
https://www.tongrenquan.org/tongren/6806.html,燕返(全本),作者： 落木寂无声  ,2022-07-25,竹中重治撒豆成兵，斩草为马，本多忠胜刀枪不入，铜头铁骨。鸦天狗与土蜘蛛招摇肆掠；滑头鬼和九尾狐惊鸿一现。
https://www.tongrenquan.org/tongren/6794.html,我有一本诡日记(全本),作者： 神秘轩  ,2022-07-20,『如果你获得一本可以预知未来的日记』
https://www.tongrenquan.org/tongren/6786.html,崩坏，我带你们打！(全本),作者： 山谷的回音  ,2022-07-17,第一，想写科技狂潮，可我不是科幻大佬，毒点+1。
https://www.tongrenquan.org/tongren/6606.html,我，开局复活了远古快龙(全本),作者： 一条咸鱼a  ,2022-05-11,“叮咚，恭喜宿主开启黄金宝箱，获得活体胶囊。”
https://www.tongrenquan.org/tongren/6593.html,在柯南里当警神(全本),作者： 辉莫愁  ,2022-05-06,“滴，主人到达指定地点签到奖励大师级神枪术！”
https://www.tongrenquan.org/tongren/4432.html,某综漫的神圣右方(全本),作者： 朱之月  ,2022-05-03,十字教中神是唯一的，所有的奇迹都是这唯一神司掌着；
https://www.tongrenquan.org/tongren/6581.html,这名训练家姓宇智波(全本),作者： 法剑  ,2022-05-02,宇智波御穿越了，来到了危机重重的火影世界。
https://www.tongrenquan.org/tongren/6578.html,格里芬赘婿(全本),作者： 丘丘人  ,2022-05-01,陆明，24岁，是铁血人形
https://www.tongrenquan.org/tongren/6571.html,"机甲开局,核爆东京(全本)",作者： 秋刀鱼的滋味  ,2022-04-29,当安逸发现他在梦中驾驶的高达出现在屋外，而天空又有巨大陨石落下的时候。
https://www.tongrenquan.org/tongren/6570.html,人在骑士：开局亚克one(全本),作者： 慕阳  ,2022-04-29,穿越到了01的世界，获得神级签到系统，开局签到一个ark-one腰带。
https://www.tongrenquan.org/tongren/6564.html,超神：我的人生模拟(全本),作者： 南城夕雾  ,2022-04-26,【人生，只有一次】
https://www.tongrenquan.org/tongren/6556.html,低武到洪荒，我创造了神话仙武法(正文完结+三国89章),作者： 三生拂晓  ,2022-04-24,一扇飞升之门，开启了顾恒漫漫诸天之旅。
https://www.tongrenquan.org/tongren/6555.html,我女友可不止漂亮呢(全本),作者： 南风知我意丿  ,2022-04-23,【单女主，狗粮文】
https://www.tongrenquan.org/tongren/6781.html,女忍者漩涡鸣人(全本),作者： 西南边陲  ,2022-07-15,三十二岁那年，以未婚单身的身份成为七代目火影，继任第二天却直接重生回三岁那一年。
https://www.tongrenquan.org/tongren/6778.html,我的恋爱日常太反人设(全本),作者： 也曾想过  ,2022-07-14,【请你记住不许和她们讲话】
https://www.tongrenquan.org/tongren/6768.html,综漫:开局坐骑无限龙神(全本),作者： 欢乐鼓手  ,2022-07-10,穿越到恶魔高校世界，获得神级成就系统。
